id,value
id_0,4.0
id_1,16.0
id_2,24.0
id_3,7.0
id_4,28.0
id_5,21.0
id_6,23.0
id_7,31.0
id_8,17.0
id_9,57.0
id_10,14.0
id_11,10.0
id_12,61.0
id_13,52.0
id_14,22.0
id_15,11.0
id_16,31.0
id_17,69.0
id_18,0.0
id_19,17.0
id_20,42.0
id_21,72.0
id_22,9.0
id_23,19.0
id_24,15.0
id_25,39.0
id_26,14.0
id_27,73.0
id_28,7.0
id_29,56.0
id_30,22.0
id_31,8.0
id_32,3.0
id_33,21.0
id_34,31.0
id_35,37.0
id_36,43.0
id_37,30.0
id_38,44.0
id_39,36.0
id_40,7.0
id_41,40.0
id_42,31.0
id_43,50.0
id_44,15.0
id_45,36.0
id_46,25.0
id_47,10.0
id_48,23.0
id_49,33.0
id_50,20.0
id_51,9.0
id_52,21.0
id_53,54.0
id_54,15.0
id_55,35.0
id_56,32.0
id_57,23.0
id_58,59.0
id_59,21.0
id_60,16.0
id_61,43.0
id_62,13.0
id_63,50.0
id_64,16.0
id_65,16.0
id_66,14.0
id_67,0.0
id_68,43.0
id_69,32.0
id_70,21.0
id_71,38.0
id_72,59.0
id_73,5.0
id_74,17.0
id_75,6.0
id_76,39.0
id_77,15.0
id_78,24.0
id_79,23.0
id_80,25.0
id_81,38.0
id_82,23.0
id_83,91.0
id_84,36.0
id_85,26.0
id_86,23.0
id_87,31.0
id_88,24.0
id_89,23.0
id_90,29.0
id_91,41.0
id_92,5.0
id_93,38.0
id_94,46.0
id_95,15.0
id_96,34.0
id_97,12.0
id_98,25.0
id_99,3.0
id_100,19.0
id_101,29.0
id_102,13.0
id_103,16.0
id_104,23.0
id_105,39.0
id_106,30.0
id_107,7.0
id_108,9.0
id_109,79.0
id_110,46.0
id_111,15.0
id_112,28.0
id_113,15.0
id_114,14.0
id_115,25.0
id_116,25.0
id_117,10.0
id_118,18.0
id_119,19.0
id_120,82.0
id_121,25.0
id_122,34.0
id_123,25.0
id_124,8.0
id_125,42.0
id_126,10.0
id_127,19.0
id_128,28.0
id_129,63.0
id_130,23.0
id_131,23.0
id_132,58.0
id_133,15.0
id_134,14.0
id_135,2.0
id_136,11.0
id_137,58.0
id_138,18.0
id_139,6.0
id_140,26.0
id_141,26.0
id_142,44.0
id_143,31.0
id_144,18.0
id_145,26.0
id_146,10.0
id_147,51.0
id_148,23.0
id_149,39.0
id_150,9.0
id_151,7.0
id_152,25.0
id_153,7.0
id_154,16.0
id_155,42.0
id_156,9.0
id_157,37.0
id_158,9.0
id_159,19.0
id_160,41.0
id_161,17.0
id_162,12.0
id_163,8.0
id_164,51.0
id_165,29.0
id_166,-0.0
id_167,15.0
id_168,62.0
id_169,13.0
id_170,65.0
id_171,40.0
id_172,25.0
id_173,20.0
id_174,61.0
id_175,24.0
id_176,21.0
id_177,37.0
id_178,11.0
id_179,30.0
id_180,17.0
id_181,12.0
id_182,55.0
id_183,46.0
id_184,18.0
id_185,36.0
id_186,27.0
id_187,73.0
id_188,10.0
id_189,56.0
id_190,38.0
id_191,16.0
id_192,30.0
id_193,1.0
id_194,19.0
id_195,2.0
id_196,34.0
id_197,11.0
id_198,19.0
id_199,63.0
id_200,24.0
id_201,22.0
id_202,65.0
id_203,12.0
id_204,9.0
id_205,12.0
id_206,9.0
id_207,3.0
id_208,124.0
id_209,19.0
id_210,15.0
id_211,14.0
id_212,37.0
id_213,36.0
id_214,20.0
id_215,34.0
id_216,76.0
id_217,1.0
id_218,13.0
id_219,33.0
id_220,16.0
id_221,12.0
id_222,114.0
id_223,12.0
id_224,17.0
id_225,61.0
id_226,16.0
id_227,20.0
id_228,9.0
id_229,11.0
id_230,44.0
id_231,15.0
id_232,52.0
id_233,42.0
id_234,24.0
id_235,42.0
id_236,68.0
id_237,42.0
id_238,13.0
id_239,15.0
