id,value
id_0,5.0
id_1,18.0
id_2,22.0
id_3,7.0
id_4,27.0
id_5,22.0
id_6,24.0
id_7,30.0
id_8,17.0
id_9,58.0
id_10,10.0
id_11,8.0
id_12,63.0
id_13,51.0
id_14,22.0
id_15,12.0
id_16,32.0
id_17,67.0
id_18,2.0
id_19,16.0
id_20,42.0
id_21,73.0
id_22,10.0
id_23,20.0
id_24,15.0
id_25,38.0
id_26,16.0
id_27,72.0
id_28,7.0
id_29,56.0
id_30,26.0
id_31,9.0
id_32,2.0
id_33,20.0
id_34,27.0
id_35,37.0
id_36,44.0
id_37,31.0
id_38,40.0
id_39,36.0
id_40,8.0
id_41,40.0
id_42,30.0
id_43,50.0
id_44,16.0
id_45,35.0
id_46,24.0
id_47,9.0
id_48,25.0
id_49,34.0
id_50,20.0
id_51,9.0
id_52,20.0
id_53,52.0
id_54,17.0
id_55,36.0
id_56,32.0
id_57,21.0
id_58,58.0
id_59,22.0
id_60,12.0
id_61,43.0
id_62,12.0
id_63,50.0
id_64,13.0
id_65,16.0
id_66,14.0
id_67,0.0
id_68,44.0
id_69,29.0
id_70,21.0
id_71,43.0
id_72,60.0
id_73,6.0
id_74,17.0
id_75,3.0
id_76,38.0
id_77,13.0
id_78,21.0
id_79,22.0
id_80,23.0
id_81,36.0
id_82,20.0
id_83,94.0
id_84,37.0
id_85,27.0
id_86,21.0
id_87,35.0
id_88,23.0
id_89,20.0
id_90,30.0
id_91,42.0
id_92,5.0
id_93,38.0
id_94,46.0
id_95,17.0
id_96,32.0
id_97,13.0
id_98,23.0
id_99,4.0
id_100,18.0
id_101,26.0
id_102,16.0
id_103,16.0
id_104,24.0
id_105,39.0
id_106,32.0
id_107,7.0
id_108,6.0
id_109,80.0
id_110,48.0
id_111,17.0
id_112,27.0
id_113,15.0
id_114,13.0
id_115,25.0
id_116,27.0
id_117,10.0
id_118,19.0
id_119,19.0
id_120,79.0
id_121,25.0
id_122,37.0
id_123,25.0
id_124,7.0
id_125,37.0
id_126,8.0
id_127,22.0
id_128,30.0
id_129,62.0
id_130,21.0
id_131,24.0
id_132,59.0
id_133,16.0
id_134,13.0
id_135,1.0
id_136,13.0
id_137,59.0
id_138,19.0
id_139,5.0
id_140,28.0
id_141,26.0
id_142,46.0
id_143,31.0
id_144,19.0
id_145,26.0
id_146,11.0
id_147,52.0
id_148,24.0
id_149,40.0
id_150,10.0
id_151,8.0
id_152,24.0
id_153,7.0
id_154,16.0
id_155,43.0
id_156,9.0
id_157,38.0
id_158,10.0
id_159,19.0
id_160,42.0
id_161,20.0
id_162,14.0
id_163,8.0
id_164,53.0
id_165,31.0
id_166,3.0
id_167,16.0
id_168,62.0
id_169,13.0
id_170,66.0
id_171,39.0
id_172,26.0
id_173,19.0
id_174,61.0
id_175,24.0
id_176,22.0
id_177,38.0
id_178,13.0
id_179,31.0
id_180,17.0
id_181,11.0
id_182,55.0
id_183,48.0
id_184,16.0
id_185,35.0
id_186,25.0
id_187,72.0
id_188,9.0
id_189,59.0
id_190,39.0
id_191,17.0
id_192,28.0
id_193,1.0
id_194,18.0
id_195,1.0
id_196,34.0
id_197,11.0
id_198,21.0
id_199,59.0
id_200,24.0
id_201,28.0
id_202,65.0
id_203,11.0
id_204,9.0
id_205,12.0
id_206,8.0
id_207,1.0
id_208,126.0
id_209,20.0
id_210,17.0
id_211,14.0
id_212,37.0
id_213,36.0
id_214,19.0
id_215,36.0
id_216,80.0
id_217,1.0
id_218,11.0
id_219,31.0
id_220,15.0
id_221,13.0
id_222,114.0
id_223,12.0
id_224,17.0
id_225,65.0
id_226,16.0
id_227,18.0
id_228,10.0
id_229,8.0
id_230,47.0
id_231,12.0
id_232,54.0
id_233,43.0
id_234,25.0
id_235,42.0
id_236,68.0
id_237,46.0
id_238,12.0
id_239,19.0
