id,value
id_0,7.0
id_1,18.0
id_2,22.0
id_3,9.0
id_4,28.0
id_5,22.0
id_6,24.0
id_7,30.0
id_8,17.0
id_9,59.0
id_10,13.0
id_11,11.0
id_12,63.0
id_13,50.0
id_14,22.0
id_15,11.0
id_16,31.0
id_17,70.0
id_18,1.0
id_19,15.0
id_20,42.0
id_21,73.0
id_22,10.0
id_23,19.0
id_24,15.0
id_25,39.0
id_26,16.0
id_27,67.0
id_28,7.0
id_29,57.0
id_30,23.0
id_31,10.0
id_32,6.0
id_33,18.0
id_34,28.0
id_35,37.0
id_36,44.0
id_37,31.0
id_38,40.0
id_39,37.0
id_40,8.0
id_41,40.0
id_42,31.0
id_43,50.0
id_44,16.0
id_45,35.0
id_46,24.0
id_47,10.0
id_48,24.0
id_49,33.0
id_50,24.0
id_51,10.0
id_52,17.0
id_53,54.0
id_54,16.0
id_55,37.0
id_56,33.0
id_57,22.0
id_58,59.0
id_59,22.0
id_60,14.0
id_61,43.0
id_62,12.0
id_63,51.0
id_64,13.0
id_65,16.0
id_66,16.0
id_67,0.0
id_68,44.0
id_69,29.0
id_70,20.0
id_71,42.0
id_72,60.0
id_73,6.0
id_74,17.0
id_75,5.0
id_76,39.0
id_77,15.0
id_78,21.0
id_79,23.0
id_80,24.0
id_81,45.0
id_82,19.0
id_83,92.0
id_84,35.0
id_85,27.0
id_86,22.0
id_87,34.0
id_88,24.0
id_89,22.0
id_90,30.0
id_91,42.0
id_92,5.0
id_93,38.0
id_94,46.0
id_95,17.0
id_96,33.0
id_97,13.0
id_98,24.0
id_99,4.0
id_100,19.0
id_101,27.0
id_102,15.0
id_103,15.0
id_104,24.0
id_105,40.0
id_106,31.0
id_107,9.0
id_108,6.0
id_109,81.0
id_110,49.0
id_111,15.0
id_112,26.0
id_113,16.0
id_114,14.0
id_115,25.0
id_116,27.0
id_117,9.0
id_118,20.0
id_119,19.0
id_120,86.0
id_121,26.0
id_122,37.0
id_123,25.0
id_124,8.0
id_125,39.0
id_126,9.0
id_127,20.0
id_128,30.0
id_129,64.0
id_130,22.0
id_131,24.0
id_132,58.0
id_133,15.0
id_134,15.0
id_135,3.0
id_136,14.0
id_137,62.0
id_138,20.0
id_139,6.0
id_140,26.0
id_141,26.0
id_142,45.0
id_143,28.0
id_144,17.0
id_145,29.0
id_146,10.0
id_147,53.0
id_148,22.0
id_149,42.0
id_150,9.0
id_151,8.0
id_152,24.0
id_153,7.0
id_154,17.0
id_155,43.0
id_156,10.0
id_157,38.0
id_158,11.0
id_159,19.0
id_160,42.0
id_161,19.0
id_162,13.0
id_163,8.0
id_164,51.0
id_165,30.0
id_166,3.0
id_167,15.0
id_168,61.0
id_169,13.0
id_170,68.0
id_171,40.0
id_172,24.0
id_173,19.0
id_174,60.0
id_175,24.0
id_176,21.0
id_177,36.0
id_178,12.0
id_179,31.0
id_180,17.0
id_181,9.0
id_182,55.0
id_183,47.0
id_184,16.0
id_185,36.0
id_186,25.0
id_187,74.0
id_188,9.0
id_189,61.0
id_190,39.0
id_191,17.0
id_192,31.0
id_193,2.0
id_194,18.0
id_195,2.0
id_196,33.0
id_197,12.0
id_198,19.0
id_199,61.0
id_200,23.0
id_201,26.0
id_202,65.0
id_203,11.0
id_204,9.0
id_205,11.0
id_206,8.0
id_207,3.0
id_208,126.0
id_209,19.0
id_210,16.0
id_211,15.0
id_212,36.0
id_213,36.0
id_214,19.0
id_215,36.0
id_216,80.0
id_217,2.0
id_218,11.0
id_219,32.0
id_220,15.0
id_221,13.0
id_222,118.0
id_223,14.0
id_224,17.0
id_225,66.0
id_226,16.0
id_227,18.0
id_228,11.0
id_229,12.0
id_230,42.0
id_231,12.0
id_232,54.0
id_233,43.0
id_234,21.0
id_235,42.0
id_236,68.0
id_237,46.0
id_238,10.0
id_239,17.0
