id,value
id_0,6.0
id_1,19.0
id_2,22.0
id_3,8.0
id_4,27.0
id_5,22.0
id_6,24.0
id_7,30.0
id_8,16.0
id_9,59.0
id_10,11.0
id_11,9.0
id_12,63.0
id_13,52.0
id_14,22.0
id_15,13.0
id_16,32.0
id_17,66.0
id_18,0.0
id_19,17.0
id_20,42.0
id_21,73.0
id_22,9.0
id_23,18.0
id_24,16.0
id_25,37.0
id_26,15.0
id_27,70.0
id_28,8.0
id_29,54.0
id_30,24.0
id_31,8.0
id_32,1.0
id_33,18.0
id_34,27.0
id_35,37.0
id_36,44.0
id_37,30.0
id_38,42.0
id_39,34.0
id_40,7.0
id_41,39.0
id_42,30.0
id_43,50.0
id_44,18.0
id_45,34.0
id_46,25.0
id_47,10.0
id_48,26.0
id_49,32.0
id_50,19.0
id_51,8.0
id_52,19.0
id_53,53.0
id_54,17.0
id_55,36.0
id_56,33.0
id_57,20.0
id_58,57.0
id_59,23.0
id_60,13.0
id_61,42.0
id_62,12.0
id_63,48.0
id_64,14.0
id_65,16.0
id_66,15.0
id_67,-0.0
id_68,43.0
id_69,28.0
id_70,21.0
id_71,43.0
id_72,62.0
id_73,7.0
id_74,17.0
id_75,3.0
id_76,40.0
id_77,13.0
id_78,21.0
id_79,21.0
id_80,24.0
id_81,35.0
id_82,21.0
id_83,94.0
id_84,37.0
id_85,26.0
id_86,22.0
id_87,35.0
id_88,22.0
id_89,20.0
id_90,29.0
id_91,42.0
id_92,5.0
id_93,40.0
id_94,45.0
id_95,17.0
id_96,31.0
id_97,13.0
id_98,23.0
id_99,4.0
id_100,18.0
id_101,25.0
id_102,15.0
id_103,16.0
id_104,23.0
id_105,40.0
id_106,32.0
id_107,6.0
id_108,6.0
id_109,79.0
id_110,48.0
id_111,18.0
id_112,28.0
id_113,16.0
id_114,13.0
id_115,25.0
id_116,27.0
id_117,11.0
id_118,18.0
id_119,20.0
id_120,78.0
id_121,25.0
id_122,38.0
id_123,25.0
id_124,7.0
id_125,37.0
id_126,9.0
id_127,23.0
id_128,29.0
id_129,62.0
id_130,22.0
id_131,24.0
id_132,59.0
id_133,15.0
id_134,14.0
id_135,3.0
id_136,12.0
id_137,58.0
id_138,21.0
id_139,5.0
id_140,30.0
id_141,26.0
id_142,46.0
id_143,30.0
id_144,20.0
id_145,27.0
id_146,12.0
id_147,51.0
id_148,24.0
id_149,39.0
id_150,10.0
id_151,8.0
id_152,23.0
id_153,6.0
id_154,14.0
id_155,42.0
id_156,8.0
id_157,37.0
id_158,10.0
id_159,19.0
id_160,41.0
id_161,19.0
id_162,14.0
id_163,8.0
id_164,51.0
id_165,31.0
id_166,-0.0
id_167,15.0
id_168,62.0
id_169,14.0
id_170,62.0
id_171,39.0
id_172,27.0
id_173,20.0
id_174,62.0
id_175,24.0
id_176,21.0
id_177,38.0
id_178,13.0
id_179,32.0
id_180,16.0
id_181,13.0
id_182,56.0
id_183,47.0
id_184,15.0
id_185,36.0
id_186,25.0
id_187,71.0
id_188,9.0
id_189,58.0
id_190,40.0
id_191,16.0
id_192,30.0
id_193,1.0
id_194,19.0
id_195,0.0
id_196,34.0
id_197,10.0
id_198,20.0
id_199,59.0
id_200,25.0
id_201,28.0
id_202,64.0
id_203,10.0
id_204,9.0
id_205,11.0
id_206,7.0
id_207,1.0
id_208,124.0
id_209,21.0
id_210,15.0
id_211,14.0
id_212,37.0
id_213,36.0
id_214,19.0
id_215,35.0
id_216,80.0
id_217,2.0
id_218,13.0
id_219,31.0
id_220,14.0
id_221,12.0
id_222,112.0
id_223,13.0
id_224,17.0
id_225,64.0
id_226,15.0
id_227,20.0
id_228,10.0
id_229,3.0
id_230,47.0
id_231,13.0
id_232,55.0
id_233,42.0
id_234,25.0
id_235,41.0
id_236,69.0
id_237,44.0
id_238,12.0
id_239,18.0
